ASIN,Title,Description,Categories
B09P5G9GVX,"Vasque Breeze IV GTX","Women's hiking boots with Vibram Megagrip outsole featuring 4mm lugs, Gore-Tex membrane, and full-grain leather upper with TPU overlays and reinforced toe cap for day hikes.",Sports & Outdoors
B09RQGWDUA,"Keen Durand III Mid GTX","Waterproof hiking boots with Keen.Dry membrane, all-terrain rubber outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and protective toe cap for versatile performance.",Sports & Outdoors
B09NQGDZAC,"Scarpa Kinesis Pro GTX 2","Technical hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex Performance Comfort membrane, and full-grain leather upper with TPU reinforcements for challenging terrain.",Sports & Outdoors
B09P5F9H7X,"Salomon Quest 5 GTX","Premium hiking boots with Contagrip MA outsole featuring 4.5mm lugs, Advanced Chassis technology with rock plate, and Quicklace system with reinforced toe cap for backpacking.",Sports & Outdoors
B09LHXFX5D,"Merrell Moab 4 Mid GTX","Waterproof hiking boots with Vibram TC5+ outsole featuring 5mm lugs, M-Select GRIP technology, and breathable mesh upper with TPU overlays and reinforced toe cap for all-season performance.",Sports & Outdoors
B09NQH1ZKB,"Oboz Sawtooth X Mid GTX 2","Waterproof hiking boots with O FIT insole technology, Granite Peak outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for technical trails.",Sports & Outdoors
B09P5G9GVY,"La Sportiva Spire GTX 3","Waterproof hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex membrane, and durable leather upper with TPU reinforcements for versatile performance.",Sports & Outdoors
B09RQGWDTV,"The Science of Everything","A comprehensive exploration of scientific principles and discoveries that shape our understanding of the universe, from quantum mechanics to astrophysics.",Books
B09RQHZP9V,"The Engineering of Sports Facilities","Comprehensive guide to the design, construction, and maintenance of sports facilities and equipment.",Books
B09RQGWDTR,"The Complete Guide to Web Development","Master modern web development technologies, frameworks, and best practices.",Books
B09RQHZP9W,"Adidas Terrex Free Hiker 3","Technical hiking boots with Continental™ Rubber outsole featuring 4mm lugs for superior grip, Boost midsole with EVA cushioning for energy return, and waterproof GORE-TEX Performance Comfort membrane with reinforced toe cap and heel counter for technical terrain.",Sports & Outdoors
B09NQGDZAA,"Salomon Speedcross 6 GTX","Trail running shoes with Contagrip MA compound outsole featuring 5mm lugs for technical terrain, Quicklace system with toggle lock for secure fit, and protective toe cap with rock plate for impact protection on rocky trails.",Sports & Outdoors
B09P5F9H7V,"Merrell Moab 4 Ventilator","Hiking shoes with Vibram TC5+ rubber outsole with 5mm lugs, M-Select FRESH technology with antimicrobial treatment, and engineered mesh upper with TPU overlays for targeted support and ventilation.",Sports & Outdoors
B09LHXFX5B,"La Sportiva Spire GTX 2","Technical hiking boots featuring Vibram Megagrip outsole with 4.5mm lugs, Gore-Tex Performance Comfort membrane with reinforced toe rand, and full-grain leather upper with TPU overlays for durability and support.",Sports & Outdoors
B09NQH1ZK9,"Oboz Sawtooth X Mid","Hiking boots with O FIT insole technology featuring dual-density EVA, Granite Peak outsole with 4mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for technical trails.",Sports & Outdoors
B09P5G9GVW,"Scarpa Zodiac Plus GTX 2","Alpine hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex Performance Comfort membrane, and suede leather upper with TPU reinforcements for technical alpine terrain.",Sports & Outdoors
B09RQGWDTZ,"Vasque St. Elias GTX 2","Premium hiking boots with Vibram Megagrip outsole featuring 4.5mm lugs, Gore-Tex membrane with reinforced toe rand, and full-grain leather upper with TPU overlays for challenging terrain.",Sports & Outdoors
B09RQHZP9Z,"Keen Targhee IV","Waterproof hiking shoes with Keen.Dry membrane, all-terrain rubber outsole with 4mm lugs, and breathable mesh upper with TPU overlays and protective toe cap for versatile performance.",Sports & Outdoors
B09NQGDZAB,"Salomon X Ultra 5 GTX","Technical hiking shoes with Contagrip MA outsole featuring 4.5mm lugs, Advanced Chassis technology with rock plate, and Quicklace system with reinforced toe cap for technical trails.",Sports & Outdoors
B09P5F9H7W,"Merrell Moab 4 Mid Ventilator","Breathable hiking boots with Vibram TC5+ outsole featuring 5mm lugs, M-Select FRESH technology, and engineered mesh upper with TPU overlays and reinforced toe cap for warm weather performance.",Sports & Outdoors
B09LHXFX5C,"La Sportiva Trango TRK GTX 2","Lightweight hiking boots with Vibram Megagrip outsole featuring 4mm lugs, Gore-Tex Performance Comfort membrane, and synthetic upper with TPU reinforcements for fastpacking.",Sports & Outdoors
B09NQH1ZKA,"Oboz Bridger Mid GTX","Waterproof hiking boots with O FIT insole technology, Granite Peak outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for all-season performance.",Sports & Outdoors
B09P5G9GVX,"Vasque Breeze IV GTX","Women's hiking boots with Vibram Megagrip outsole featuring 4mm lugs, Gore-Tex membrane, and full-grain leather upper with TPU overlays and reinforced toe cap for day hikes.",Sports & Outdoors
B09RQGWDUA,"Keen Durand III Mid GTX","Waterproof hiking boots with Keen.Dry membrane, all-terrain rubber outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and protective toe cap for versatile performance.",Sports & Outdoors
B09NQGDZAC,"Scarpa Kinesis Pro GTX 2","Technical hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex Performance Comfort membrane, and full-grain leather upper with TPU reinforcements for challenging terrain.",Sports & Outdoors
B09P5F9H7X,"Salomon Quest 5 GTX","Premium hiking boots with Contagrip MA outsole featuring 4.5mm lugs, Advanced Chassis technology with rock plate, and Quicklace system with reinforced toe cap for backpacking.",Sports & Outdoors
B09LHXFX5D,"Merrell Moab 4 Mid GTX","Waterproof hiking boots with Vibram TC5+ outsole featuring 5mm lugs, M-Select GRIP technology, and breathable mesh upper with TPU overlays and reinforced toe cap for all-season performance.",Sports & Outdoors
B09NQH1ZKB,"Oboz Sawtooth X Mid GTX 2","Waterproof hiking boots with O FIT insole technology, Granite Peak outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for technical trails.",Sports & Outdoors
B09P5G9GVY,"La Sportiva Spire GTX 3","Waterproof hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex membrane, and durable leather upper with TPU reinforcements for versatile performance.",Sports & Outdoors
B09RQGWDTV,"The Science of Everything","A comprehensive exploration of scientific principles and discoveries that shape our understanding of the universe, from quantum mechanics to astrophysics.",Books
B09RQHZP9V,"The Engineering of Sports Facilities","Comprehensive guide to the design, construction, and maintenance of sports facilities and equipment.",Books
B09RQGWDTR,"The Complete Guide to Web Development","Master modern web development technologies, frameworks, and best practices.",Books
B09RQHZP9W,"Adidas Terrex Free Hiker 3","Technical hiking boots with Continental™ Rubber outsole featuring 4mm lugs for superior grip, Boost midsole with EVA cushioning for energy return, and waterproof GORE-TEX Performance Comfort membrane with reinforced toe cap and heel counter for technical terrain.",Sports & Outdoors
B09NQGDZAA,"Salomon Speedcross 6 GTX","Trail running shoes with Contagrip MA compound outsole featuring 5mm lugs for technical terrain, Quicklace system with toggle lock for secure fit, and protective toe cap with rock plate for impact protection on rocky trails.",Sports & Outdoors
B09P5F9H7V,"Merrell Moab 4 Ventilator","Hiking shoes with Vibram TC5+ rubber outsole with 5mm lugs, M-Select FRESH technology with antimicrobial treatment, and engineered mesh upper with TPU overlays for targeted support and ventilation.",Sports & Outdoors
B09LHXFX5B,"La Sportiva Spire GTX 2","Technical hiking boots featuring Vibram Megagrip outsole with 4.5mm lugs, Gore-Tex Performance Comfort membrane with reinforced toe rand, and full-grain leather upper with TPU overlays for durability and support.",Sports & Outdoors
B09NQH1ZK9,"Oboz Sawtooth X Mid","Hiking boots with O FIT insole technology featuring dual-density EVA, Granite Peak outsole with 4mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for technical trails.",Sports & Outdoors
B09P5G9GVW,"Scarpa Zodiac Plus GTX 2","Alpine hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex Performance Comfort membrane, and suede leather upper with TPU reinforcements for technical alpine terrain.",Sports & Outdoors
B09RQGWDTZ,"Vasque St. Elias GTX 2","Premium hiking boots with Vibram Megagrip outsole featuring 4.5mm lugs, Gore-Tex membrane with reinforced toe rand, and full-grain leather upper with TPU overlays for challenging terrain.",Sports & Outdoors
B09RQHZP9Z,"Keen Targhee IV","Waterproof hiking shoes with Keen.Dry membrane, all-terrain rubber outsole with 4mm lugs, and breathable mesh upper with TPU overlays and protective toe cap for versatile performance.",Sports & Outdoors
B09NQGDZAB,"Salomon X Ultra 5 GTX","Technical hiking shoes with Contagrip MA outsole featuring 4.5mm lugs, Advanced Chassis technology with rock plate, and Quicklace system with reinforced toe cap for technical trails.",Sports & Outdoors
B09P5F9H7W,"Merrell Moab 4 Mid Ventilator","Breathable hiking boots with Vibram TC5+ outsole featuring 5mm lugs, M-Select FRESH technology, and engineered mesh upper with TPU overlays and reinforced toe cap for warm weather performance.",Sports & Outdoors
B09LHXFX5C,"La Sportiva Trango TRK GTX 2","Lightweight hiking boots with Vibram Megagrip outsole featuring 4mm lugs, Gore-Tex Performance Comfort membrane, and synthetic upper with TPU reinforcements for fastpacking.",Sports & Outdoors
B09NQH1ZKA,"Oboz Bridger Mid GTX","Waterproof hiking boots with O FIT insole technology, Granite Peak outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for all-season performance.",Sports & Outdoors
B09P5G9GVX,"Vasque Breeze IV GTX","Women's hiking boots with Vibram Megagrip outsole featuring 4mm lugs, Gore-Tex membrane, and full-grain leather upper with TPU overlays and reinforced toe cap for day hikes.",Sports & Outdoors
B09RQGWDUA,"Keen Durand III Mid GTX","Waterproof hiking boots with Keen.Dry membrane, all-terrain rubber outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and protective toe cap for versatile performance.",Sports & Outdoors
B09NQGDZAC,"Scarpa Kinesis Pro GTX 2","Technical hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex Performance Comfort membrane, and full-grain leather upper with TPU reinforcements for challenging terrain.",Sports & Outdoors
B09P5F9H7X,"Salomon Quest 5 GTX","Premium hiking boots with Contagrip MA outsole featuring 4.5mm lugs, Advanced Chassis technology with rock plate, and Quicklace system with reinforced toe cap for backpacking.",Sports & Outdoors
B09LHXFX5D,"Merrell Moab 4 Mid GTX","Waterproof hiking boots with Vibram TC5+ outsole featuring 5mm lugs, M-Select GRIP technology, and breathable mesh upper with TPU overlays and reinforced toe cap for all-season performance.",Sports & Outdoors
B09NQH1ZKB,"Oboz Sawtooth X Mid GTX 2","Waterproof hiking boots with O FIT insole technology, Granite Peak outsole featuring 4.5mm lugs, and breathable mesh upper with TPU overlays and reinforced toe cap for technical trails.",Sports & Outdoors
B09P5G9GVY,"La Sportiva Spire GTX 3","Waterproof hiking boots with Vibram Megagrip outsole featuring 5mm lugs, Gore-Tex membrane, and durable leather upper with TPU reinforcements for versatile performance.",Sports & Outdoors
